qseqid	sseqid	pident	length	qcovs	evalue	bitscore	title
CDNNHOAL_00022	sp|B7MQK2.1|	64.262	305	96	5.11e-144	411	Glutaminase [Escherichia coli ED1a]
CDNNHOAL_00023	sp|P37034.2|	37.275	389	91	5.76e-83	265	Uncharacterized transporter lpg1691 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
CDNNHOAL_00023	sp|Q9CG19.1|	31.776	428	99	2.46e-65	220	Glutamate/gamma-aminobutyrate antiporter
CDNNHOAL_00023	sp|O30417.1|	32.282	412	96	2.59e-65	220	Glutamate/gamma-aminobutyrate antiporter
CDNNHOAL_00024	sp|P58228.1|	63.235	136	100	7.27e-58	188	Glutamate decarboxylase alpha
CDNNHOAL_00024	sp|Q8FHG5.2|	62.500	136	100	1.38e-57	188	Glutamate decarboxylase beta
CDNNHOAL_00024	sp|P69910.1|	62.500	136	100	1.60e-57	187	Glutamate decarboxylase beta
CDNNHOAL_00025	sp|P69908.1|	79.421	311	97	0.0	533	Glutamate decarboxylase alpha
CDNNHOAL_00025	sp|P58228.1|	79.421	311	97	0.0	533	Glutamate decarboxylase alpha
CDNNHOAL_00025	sp|Q83PR1.2|	79.421	311	97	0.0	533	Glutamate decarboxylase alpha
